cluster_id,count
0,24
1,26
2,24
3,25
4,3
5,25
6,9
7,7
8,17
9,3
10,5
11,3
12,7
13,3
14,8
15,5
16,5
17,5
18,9
19,4
20,7
21,5
22,3
23,9
24,55
25,3
26,6
27,5
28,5
29,8
30,3
31,3
32,26
33,5
34,8
35,4
36,4
37,5
38,12
39,5
40,8
41,3
42,3
43,4
44,5
45,6
