cluster_id,count
0,8
1,6
2,67
3,124
4,8
5,7
6,53
7,8
8,25
9,18
10,28
11,29
12,31
13,17
14,7
15,6
16,14
17,6
18,5
19,5
20,15
21,13
22,5
23,8
