"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN23LA301","ACC","192618","2023-07-10T10:35:00Z","Titusville","Florida","United States",,"N21409","0365","false","Aviation","DirectorBrief","2023-10-05T04:00:00Z","2023-10-05T17:00:00Z","Minor","0","0","1","1",,"The student pilot’s failure to maintain helicopter control while on the ground when his attention was diverted for post flight activities.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot",,"28.514806","-80.799222","SCHWEIZER","269C-1","HELI","TIX","Space Coast Regional Airport","false","1","REC",,"INST","091","Substantial","VMC","US AVIATION TRAINING SOLUTIONS","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192618","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192618/pdf"
"ERA23LA290","ACC","192544","2023-07-05T12:15:00Z","Clearwater","Florida","United States",,"N8579W","28-10091","false","Aviation","DirectorBrief","2023-10-05T04:00:00Z","2023-10-05T17:00:00Z","None","0","0","0","0",,"The pilot’s improper preflight inspection which resulted in a loss of engine power due to fuel contamination (water).","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid condition, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot",,"27.977214","-82.759056999999999","PIPER","PA-28-235","AIR","CLW","CLEARWATER AIR PARK","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192544","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192544/pdf"
"ERA23LA283","ACC","192512","2023-07-04T09:15:00Z","Coral Gables","Florida","United States",,"N147JL","001","false","Aviation","DirectorBrief","2024-06-26T04:00:00Z","2024-06-26T17:00:00Z","Minor","0","0","2","2","0","A partial loss of engine power for reasons that could not be determined.","Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Unknown/Not determined",,"25.639523000000001","-80.290741999999995","AIRBORNE","Edge-X","WSFT","None",,"true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192512","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192512/pdf"
"ERA23LA284","ACC","192513","2023-07-01T12:00:00Z","Macclenny","Florida","United States",,"N9WZ","S1882","false","Aviation","DirectorBrief","2025-06-04T04:00:00Z","2025-06-04T17:00:00Z","Minor","0","0","1","1",,"The improper maintenance of the landing gear dampers and main rotor elastomeric dampers, resulting in ground resonance during an unsuccessful takeoff attempt with the helicopter near its maximum gross weight for the density altitude.","Aircraft - Aircraft systems - Landing gear system - Main gear strut/axle/truck - Incorrect service/maintenance, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Contributed to outcome, Aircraft - Aircraft handling/service - Loading - (general) - Related operating info",,"30.275832999999999","-82.126666999999998","SCHWEIZER","269C","HELI","None",,"false","1","REC",,"AOBV","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192513","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192513/pdf"
"ERA23LA272","ACC","192420","2023-06-20T14:45:00Z","Wellington","Florida","United States",,"N3069S","802A-0559","false","Aviation","DirectorBrief","2025-07-16T04:00:00Z","2025-07-16T17:00:00Z","None","0","0","0","0","0","Wear of the fuel control unit drive shaft and the corresponding fuel pump drive gear, which resulted in the disengagement of the fuel control unit from the fuel pump, a decrease in fuel flow, and a loss of engine power.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Accessory drives - Fatigue/wear/corrosion, Personnel issues - Task performance - Inspection - Scheduled/routine inspection - Maintenance personnel",,"26.998505999999999","-80.561943999999997","AIR TRACTOR","AT802","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC","ROMA AIR CORP","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192420","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192420/pdf"
"ERA23LA267","ACC","192352","2023-06-10T11:16:00Z","Venice","Florida","United States",,"N49PF","24213316","false","Aviation","DirectorBrief","2025-06-24T04:00:00Z","2025-06-24T17:00:00Z","Serious","0","1","0","1",,"The pilot’s failure to maintain directional control on takeoff for unknown reasons; whether the pilot’s acute stroke contributed to, or resulted from, the accident could not be determined.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Not determined - Not determined - (general) - (general) - Unknown/Not determined, Personnel issues - Physical - Impairment/incapacitation - Cardiovascular - Pilot",,"27.071268","-82.440033","FLY GYROS LLC","M24 ORION","GYRO","VNC","VENICE MUNI","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192352","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192352/pdf"
"ERA23LA261","ACC","192331","2023-06-06T20:17:00Z","Panama City","Florida","United States",,"N87RT","106","false","Aviation","DirectorBrief","2025-07-08T04:00:00Z","2025-07-03T17:00:00Z","None","0","0","0","0","0","The flight crew’s failure to appropriately configure the airplane for landing, which resulted in a failed attempt to utilize the thrust reversers during landing and the inability to stop the airplane using its brakes due to increased forward thrust. Contributing to the accident was the flight crew’s failure to utilize the appropriate checklist for the thrust reverser equipped airplane.","Aircraft - Aircraft power plant - Engine exhaust - Thrust reverser - Incorrect use/operation, Personnel issues - Task performance - Inspection - Preflight inspection - Flight crew, Personnel issues - Task performance - Use of equip/info - Use of checklist - Flight crew",,"30.358241","-85.795602000000002","DASSAULT-BREGUET","FALCON 10","AIR","ECP","Northwest Florida Beaches International","false","2","TF",,"PERS","091","Substantial","VMC","Aviation Development Group","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192331","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192331/pdf"
"ERA23LA269","ACC","192379","2023-06-05T15:47:00Z","Orlando","Florida","United States",,"N27UK","1871","false","Aviation","DirectorBrief","2023-11-09T05:00:00Z","2023-11-09T18:00:00Z","None","0","0","0","0","0","The pilot’s improper landing flare during a practice autorotation, which resulted in a hard landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Incorrect use/operation",,"28.541170999999999","-81.340902999999997","BELL","206B","HELI","ORL","Orlando Executive Airport","false","1","TS",,"FLTS","091","Substantial","VMC","The Heli Team","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192379","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192379/pdf"
"ERA23LA259","ACC","192325","2023-05-30T10:07:00Z","Miami","Florida","United States",,"N2447B","17280801","false","Aviation","DirectorBrief","2023-07-07T04:00:00Z","2023-07-07T17:00:00Z","None","0","0","0","0","0","The pilot's improper landing flare, which resulted in substantial damage the airplane’s fuselage.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"25.652919000000001","-80.437957999999995","CESSNA","172","AIR","TMB","MIAMI EXEC","false","1","REC",,"INST","091","Substantial","VMC","SILVER EXPRESS CO","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192325","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192325/pdf"
"ERA23FA247","ACC","192246","2023-05-26T11:18:00Z","Lake Worth","Florida","United States",,"N3KV","17274768","false","Aviation","DirectorBrief","2024-06-20T04:00:00Z","2024-06-20T17:00:00Z","Fatal","2","0","0","2","0","Maintenance personnel’s failure to detect the corroded aileron cable during recent inspections, which resulted in the separation of the aileron control cable and a subsequent loss of airplane control during takeoff.","Aircraft - Aircraft systems - Flight control system - Aileron control system - Fatigue/wear/corrosion, Aircraft - Aircraft systems - Flight control system - Aileron control system - Inadequate inspection, Personnel issues - Task performance - Inspection - Scheduled/routine inspection - Maintenance personnel",,"26.590402000000001","-80.084632999999997","CESSNA","172","AIR","LNA","PALM BEACH COUNTY PARK","false","1","REC",,"INST","091","Destroyed","VMC","Airmax Charters, LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192246","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192246/pdf"
"ERA23LA248","ACC","192247","2023-05-26T09:58:00Z","Melbourne","Florida","United States",,"N680CB","FL-499","false","Aviation","DirectorBrief","2023-08-10T04:00:00Z","2023-08-10T17:00:00Z","None","0","0","0","0",,"An inflight separation of the airplane’s airstair door for undetermined reasons.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"28.104631000000001","-80.643145000000004","RAYTHEON AIRCRAFT COMPANY","B300","AIR",,,"false","2","TP",,"PERS","091","Substantial","VMC","DALKS LEASING INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192247","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192247/pdf"
"ERA23LA245","ACC","192237","2023-05-25T12:09:00Z","Hollywood","Florida","United States",,"N454AB","25-7556048","false","Aviation","DirectorBrief","2025-06-04T04:00:00Z","2025-06-04T17:00:00Z","Serious","0","1","0","1",,"The pilot’s improper banner pickup approach, which resulted in the banner tow hook contacting the airplane, and the subsequent overload separation of the right rudder control horn, resulting in a loss of airplane control.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft systems - Flight control system - Rudder control system - Damaged/degraded, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained",,"26.001221999999999","-80.240722000000005","PIPER","PA-25-260","AIR","HWO","NORTH PERRY","false","1","REC",,"OWRK","091","Substantial","VMC","AERIAL BANNERS NORTH INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192237","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192237/pdf"
"ERA23FA239","ACC","192205","2023-05-21T15:30:00Z","Palm City","Florida","United States",,"N6042E","20030","false","Aviation","DirectorBrief","2025-06-04T04:00:00Z","2025-06-04T17:00:00Z","Fatal","1","0","0","1","0","A loss of engine power for undetermined reasons, and the pilot’s subsequent loss of control, which resulted in impact with terrain.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"27.152795999999999","-80.336658","COMMANDER AIRCRAFT CO","114TC","AIR","64FA","Naked Lady Ranch Airport","false","1","REC",,"PERS","091","Destroyed","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192205","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192205/pdf"
