"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN21LA062","ACC","102302","2020-11-17T16:35:00Z","Johnson City","Kansas","United States",,"N2376N","12625","false","Aviation","DirectorBrief","2021-08-20T04:00:00Z","2021-08-17T04:00:00Z","None","0","0","0","0",,"The pilot’s improper decision to fly the airplane at too low an altitude resulting in the airplane impacting terrain.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Incorrect use/operation",,"37.579721999999997","-101.59972","CESSNA","120","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=102302","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102302/pdf"
"ANC21LA004","ACC","102233","2020-11-03T15:41:00Z","Whitewater","Kansas","United States",,"N455WM","M00834","false","Aviation","DirectorBrief","2022-08-31T04:00:00Z","2022-08-24T11:00:00Z","Fatal","2","0","0","2",,"A loss of control for reasons that could not be determined based on the available evidence.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"37.934334","-97.069492999999994","AutoGyro","MTO Sport","GYRO","29KS","Mcmaster Gliderport","true","1","REC",,"PERS","091","Destroyed","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=102233","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102233/pdf"
"CEN21LA029","ACC","102194","2020-10-24T18:30:00Z","Geuda Springs","Kansas","United States",,"N5910A","28510","false","Aviation","DirectorBrief","2021-08-20T04:00:00Z","2021-08-04T18:00:00Z","None","0","0","0","0",,"The pilot’s failure to determine the airplane’s takeoff performance from an off-airport field which resulted in an aborted takeoff and impact with a fence and terrain. Contributing to the accident was the delayed aborted takeoff.","Personnel issues - Task performance - Planning/preparation - Performance calculations - Pilot, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Takeoff distance - Attain/maintain not possible, Personnel issues - Action/decision - Action - Delayed action - Pilot",,"37.110844999999998","-97.150024000000002","CESSNA","172","AIR","NONE","McClaskey","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=102194","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102194/pdf"
"CEN20CA356","ACC","101842","2020-08-19T19:16:00Z","Olathe","Kansas","United States",,"N386X","7029C","false","Aviation","DirectorBrief","2021-02-02T05:00:00Z","2020-10-09T18:31:44Z","None","0","0","0","0","0","The pilot's loss of directional control during landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"38.847220999999998","-94.737776999999994","Maule","M5","AIR","OJC","Johnson County Executive","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=101842","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/101842/pdf"
"CEN20CA334","ACC","101782","2020-08-05T18:45:00Z","Delia","Kansas","United States",,"N104SU","670151D","false","Aviation","DirectorBrief","2021-08-26T04:00:00Z","2021-07-29T18:00:00Z","None","0","0","0","0",,"Foreign object damage sustained to the main rotor blades due to aerial tree trimming.","Aircraft - Aircraft propeller/rotor - Main rotor system - Main rotor blade system - Damaged/degraded, Environmental issues - Physical environment - Object/animal/substance - Debris/dirt/foreign object - Effect on equipment",,"39.259998000000003","-95.988608999999997","HUGHES","369","HELI",,,"false","1","TS",,"EXLD","133","Substantial","VMC","Signature Utility","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=101782","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/101782/pdf"
"CEN20LA267","ACC","101553","2020-07-06T08:55:00Z","Mankato","Kansas","United States",,"N900WH","D99912SOHK0334","false","Aviation","DirectorBrief","2022-10-12T04:00:00Z","2022-08-24T04:00:00Z","Serious","0","1","0","1",,"A total loss of engine power for reasons that could not be determined based on available information.","Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Unknown/Not determined",,"39.802667","-98.219595999999996","TITAN","TORNADO","AIR","TKO","Mankato","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=101553","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/101553/pdf"
"CEN20CA221","ACC","101410","2020-06-08T16:25:00Z","Hiawatha","Kansas","United States",,"N5092J","502B-0438","false","Aviation","DirectorBrief","2021-02-02T05:00:00Z","2020-07-09T04:20:00Z","None","0","0","0","0","0","The pilot’s decision to attempt the takeoff with a tailwind in high density altitude conditions.","Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Effect on operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Effect on operation",,"39.882499000000003","-95.518332999999998","Air Tractor","AT502","AIR","K87","Hiawatha Municipal Airport","false","1","TP",,"AAPL","137","Substantial","VMC","MCELWAIN, FLOYD W","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=101410","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/101410/pdf"
"CEN20LA122","ACC","101080","2020-03-17T10:19:00Z","LaCrosse","Kansas","United States",,"N274PM","208B0705","false","Aviation","DirectorBrief","2022-04-18T04:00:00Z","2022-04-06T16:00:00Z","Fatal","1","0","0","1",,"An infight loss of control as a result of pilot impairment, the cause of which could not be determined.","Personnel issues - Physical - Impairment/incapacitation - (general) - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained",,"38.539999999999999","-99.459998999999996","Cessna","208","AIR",,,"false","1","TP","NSCH",,"135","Destroyed","IMC","Planemasters Ltd","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=101080","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/101080/pdf"
"CEN20TA088","ACC","100955","2020-02-16T17:02:00Z","Valley Center","Kansas","United States",,"N170RH","18030","false","Aviation","DirectorBrief","2021-05-05T04:00:00Z","2020-04-02T03:42:00Z","Minor","0","0","1","1","0","The pilot's delayed decision to abort the takeoff when the airplane passed the point where he had anticipated the liftoff would occur.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Action/decision - Action - Delayed action - Pilot, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Takeoff distance - Not attained/maintained",,"37.842776999999998","-97.351387000000003","Cessna","170","AIR","3KS5","HIGH POINT","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100955","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100955/pdf"

