NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude ,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,source_file
DCA24MA063,ACC,193617,2024-01-05T18:14:00Z,Portland,Oregon,United States,AIR2504,N704AL,67501,True,Aviation,Report,2025-07-11T04:00:00Z,2024-08-09T17:00:00Z,Minor,0.0,0.0,8.0,8.0,,"the in-flight separation of the left mid exit door (MED) plug due to Boeing Commercial Airplanes’ failure to provide adequate training, guidance, and oversight necessary to ensure that manufacturing personnel could consistently and correctly comply with its parts removal process, which was intended to document and ensure that the securing bolts and hardware that were removed from the left MED plug to facilitate rework during the manufacturing process were reinstalled. Contributing to the accident was the Federal Aviation Administration’s ineffective compliance enforcement surveillance and audit planning activities, which failed to adequately identify and ensure that Boeing addressed the repetitive and systemic nonconformance issues associated with its parts removal process.","Aircraft - Aircraft structures - Fuselage - Equip attach fittings (on fus) - Not installed/available, Organizational issues - Support/oversight/monitoring - Training - (general) - Manufacturer, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of personnel - Manufacturer, Organizational issues - Support/oversight/monitoring - Enforcement - Company/organization policy - FAA/Regulator, Organizational issues - Support/oversight/monitoring - Safety programs - Adequacy of safety program - FAA/Regulator",,45.454167,-122.75555,BOEING,737-9,AIR,,,false,2,TF,SCHD,,121,Substantial,VMC,ALASKA AIRLINES INC,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193617,https://www.ntsb.gov/investigations/Pages/DCA24MA063.aspx,Oregon.csv
WPR24FA057,ACC,193533,2023-12-16T17:54:00Z,Independence,Oregon,United States,,N3992L,17254161,False,Aviation,DirectorBrief,2025-07-22T04:00:00Z,2025-07-22T17:00:00Z,Fatal,3.0,0.0,0.0,3.0,,"The pilot’s decision to continue flight under visual flight rules into instrument meteorological conditions, which resulted in collision with an obstacle while landing.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low visibility - Decision related to condition, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,44.86416,-123.2009,CESSNA,172G,AIR,7S5,Independence State Airport,false,1,REC,,PERS,091,Destroyed,IMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193533,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193533/pdf,Oregon.csv
WPR24LA036,ACC,193390,2023-11-15T08:45:00Z,Estacada,Oregon,United States,,N103WC,69-16083,False,Aviation,DirectorBrief,2024-06-06T04:00:00Z,2024-06-06T17:00:00Z,,0.0,0.0,0.0,0.0,,"The pilot’s failure to maintain helicopter control during an external load operation, which resulted in the helicopter’s main rotor blades impacting the tail boom.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained",,45.265907,-122.35522,BELL,OH-58A,HELI,,,false,1,TS,,EXLD,133,Substantial,VMC,EDGEFIELD AVIATION LLC,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193390,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193390/pdf,Oregon.csv
WPR24LA031,ACC,193376,2023-11-10T14:00:00Z,Pendleton,Oregon,United States,,N692PA,17868SN000777,False,Aviation,DirectorBrief,2024-01-04T05:00:00Z,2024-01-04T18:00:00Z,,0.0,0.0,0.0,0.0,,The operator’s use of an insufficiently charged battery that resulted in a total loss of engine power and subsequent impact with terrain.,"Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Aircraft - Aircraft systems - Electrical power system - Battery/charger - Inadequate inspection",,45.695095,-118.84336,AMAZON.COM SERVICES LLC,MK27-2,UNMANNED,PDT,EASTERN OREGON RGNL AT PENDLETON,false,6,,,FLTS,091,Substantial,VMC,AMAZON.COM SERVICES LLC,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193376,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193376/pdf,Oregon.csv
WPR24LA033,ACC,193378,2023-11-09T13:00:00Z,Baker City,Oregon,United States,,N418BS,12-2831,False,Aviation,DirectorBrief,2024-06-06T04:00:00Z,2024-06-06T17:00:00Z,,0.0,0.0,0.0,0.0,,"The pilot’s inadequate fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.","Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome",,44.837333,-117.80913,PIPER,PA-12,AIR,KBKE,Baker City Airport,false,1,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193378,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193378/pdf,Oregon.csv
WPR24LA021,ACC,193298,2023-10-19T20:42:00Z,The Dalles,Oregon,United States,,N6308Q,15285227,False,Aviation,DirectorBrief,2024-01-25T05:00:00Z,2024-01-25T18:00:00Z,Minor,0.0,0.0,1.0,1.0,,The pilot’s encounter with severe turbulence at night which resulted in an extended downwind and collision with wires during the base turn.,"Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment, Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on equipment, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Attain/maintain not possible",,45.58,-121.15,CESSNA,152,AIR,DLS,COLUMBIA GORGE RGNL/THE DALLES MUNI,false,1,REC,,INST,091,Substantial,VMC,HILLSBORO AERO ACADEMY LLC,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193298,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193298/pdf,Oregon.csv
WPR24FA004,ACC,193187,2023-10-03T18:47:00Z,Newberg,Oregon,United States,,N8360K,44-8195018,False,Aviation,DirectorBrief,2025-02-26T05:00:00Z,2025-02-26T19:00:00Z,Fatal,2.0,1.0,0.0,3.0,,"The pilot receiving instruction’s failure to maintain control of the airplane and the flight instructor’s inadequate supervision of the flight, which resulted in a stall/spin from which they were unable to recover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot",,45.31399,-122.94885,PIPER,PA-44-180,AIR,,,false,2,REC,,INST,091,Substantial,VMC,HILLSBORO AERO ACADEMY LLC,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193187,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193187/pdf,Oregon.csv
WPR23LA328,ACC,192969,2023-08-26T17:10:00Z,Hillsboro,Oregon,United States,,N28841,1583,False,Aviation,DirectorBrief,2024-04-19T04:00:00Z,2024-04-19T17:00:00Z,,0.0,0.0,0.0,0.0,,"The student pilot’s failure to maintain airplane control during the landing roll and the flight instructor’s delayed remedial action, which resulted in a ground loop.","Personnel issues - Experience/knowledge - Training - Initial instruct/training - Student/instructed pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Student/instructed pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Student/instructed pilot, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot",,45.42845,-122.94215,LUSCOMBE,8A,AIR,7S3,Stark's Twin Oaks Airport,false,1,REC,,INST,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=192969,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192969/pdf,Oregon.csv
WPR23LA360,ACC,193199,2023-08-07T15:00:00Z,Aurora,Oregon,United States,,N4757N,18267343,False,Aviation,DirectorBrief,2024-07-02T04:00:00Z,2024-07-02T17:00:00Z,,0.0,0.0,0.0,0.0,,"The pilot’s improper landing flare, which resulted in a hard, bounced landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained",,45.247126,-122.77004,CESSNA,182Q,AIR,UAO,Aurora State Airport,false,1,REC,,PERS,091,Substantial,VMC,TWIN FALLS FLIERS INC,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193199,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193199/pdf,Oregon.csv
WPR23LA303,ACC,192813,2023-08-03T11:45:00Z,McDermitt,Oregon,United States,,N964AL,263,False,Aviation,DirectorBrief,2025-02-13T05:00:00Z,2025-02-13T18:00:00Z,Minor,0.0,0.0,1.0,1.0,,"The pilot's inadequate preflight fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome",,42.2394,-117.9255,ALDINGER ALBERT JOHN,COZY Mark III,AIR,,,true,1,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=192813,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192813/pdf,Oregon.csv
WPR23LA309,ACC,192832,2023-07-28T16:30:00Z,Dune City,Oregon,United States,,N66165,15075887,False,Aviation,DirectorBrief,2024-01-04T05:00:00Z,2024-01-04T18:00:00Z,,0.0,0.0,0.0,0.0,,"The pilot's improper fuel management, which resulted in fuel exhaustion, a total loss of engine power, and impact with terrain.","Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot",,43.883773,-124.13721,CESSNA,150M,AIR,5S6,Cape Blanco,false,,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=192832,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192832/pdf,Oregon.csv
WPR23LA267,ACC,192585,2023-07-08T14:33:00Z,Coquille Bay,Oregon,United States,,N9507D,22-6422,False,Aviation,DirectorBrief,2023-11-02T04:00:00Z,2023-11-02T17:00:00Z,Serious,0.0,1.0,0.0,1.0,,"The pilot's improper fuel management, which resulted in fuel starvation, a total loss of engine power, and impact with terrain.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level",,43.174194,-124.27574,PIPER,PA-22-160,AIR,,,false,1,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=192585,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192585/pdf,Oregon.csv
