"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WPR21LA306","ACC","103649","2021-08-04T18:10:00Z","Woodburn","Oregon","United States",,"N6018H","19158","false","Aviation","DirectorBrief","2021-09-20T04:00:00Z","2021-10-06T11:00:00Z","Serious","0","1","0","0","1","The pilot’s failure to maintain clearance during takeoff from a person on the ground who sustained a serious injury as a result of the collision.","Environmental issues - Physical environment - Object/animal/substance - Person - Effect on operation, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot",,"45.161050000000003","-123.00217000000001","PIPER","J3C-85","AIR","NA","NA","false","1","REC",,"PERS","091","None","VMC","TWIN OAKS AIRPARK INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103649","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103649/pdf"
"WPR21LA344","ACC","103859","2021-07-31T11:07:00Z","Eugene","Oregon","United States",,"N3186Y","18254186","false","Aviation","DirectorBrief","2023-03-22T04:00:00Z","2023-03-22T17:00:00Z","None","0","0","0","0",,"Loss of directional control due to damage to the nosewheel strut that was sustained during a previous landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Aircraft - Aircraft systems - Landing gear system - Nose/tail landing gear - Damaged/degraded",,"44.128253000000001","-123.21835","CESSNA","182E","AIR","EUG","MAHLON SWEET FLD","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103859","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103859/pdf"
"WPR21LA314","ACC","103686","2021-07-27T11:00:00Z","Roseburg","Oregon","United States",,"N161BS","00118","false","Aviation","DirectorBrief","2021-09-29T04:00:00Z",,"None","0","0","0","0",,"The pilot’s failure to maintain directional control during the landing roll which, resulted in a runway excursion and collision with a tree.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment",,"43.214812000000002","-123.40291000000001","Cubcrafters","CCX-2000","AIR","5S1","George Felt Airport","false","1","REC",,"PERS","091","Substantial","VMC","Nadav Shachar","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103686/pdf"
"WPR21LA292","ACC","103569","2021-07-23T21:45:00Z","Mt. Hood","Oregon","United States",,"N8884","18053039","false","Aviation","DirectorBrief","2023-02-24T05:00:00Z","2023-02-28T14:00:00Z","Minor","0","0","1","1",,"The total loss of engine power while in cruise flight for reasons that could not be determined based on available evidence. Contributing to the accident was the presentation of an abandoned airport as available for use in the Federal Aviation Administration airports database.","Not determined - Not determined - (general) - (general) - Unknown/Not determined, Environmental issues - Operating environment - Airport facilities/design - Runway/landing area condition - Accuracy of related info",,"45.592616999999997","-121.54868","CESSNA","180K","AIR","0OR9","HANEL FLD","false","1","REC",,"PERS","091","Substantial","VMC","DRAGON WAGON LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103569","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103569/pdf"
"WPR21FA265","ACC","103450","2021-07-09T21:51:00Z","Albany","Oregon","United States",,"UNREG","510282","false","Aviation","DirectorBrief","2023-08-16T04:00:00Z","2023-08-16T17:00:00Z","Fatal","2","0","0","2",,"The noncertificated pilot’s loss of aircraft control after a low-level turn with a bank angle that exceeded the manufacturer’s operating limitations.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Personnel issues - Experience/knowledge - Experience/qualifications - Qualification/certification - Pilot",,"44.695371000000002","-123.08215","North Wing","Mustang","WSFT",,,"true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103450","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103450/pdf"
"WPR21LA276","ACC","103503","2021-07-08T19:25:00Z","Hillsboro","Oregon","United States",,"N526KP, N808LD","81648, 82693","false","Aviation","DirectorBrief","2021-10-20T04:00:00Z","2021-09-22T14:00:00Z","None","0","0","0","0",,"The second pilot’s diverted attention while taxing which, resulted in his failure to maintain clearance from another airplane holding short of the runway.","Environmental issues - Physical environment - Object/animal/substance - Aircraft - Contributed to outcome, Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot of other aircraft",,"45.544199999999996","-122.95356","PAYNE STEVEN R, DAVIDSON LARRY R","RV-8, RV-8","AIR, AIR","HIO","PORTLAND-HILLSBORO","false, false","1, 1","REC, REC",,"PERS, PERS","091, 091","Substantial, Minor","VMC","PAYNE STEVEN R, MOREY RICHARD J","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103503","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103503/pdf"
"WPR21LA274","ACC","103494","2021-07-07T12:30:00Z","Independence","Oregon","United States",,"N536SJ","CCX-2000-0071","false","Aviation","DirectorBrief","2021-11-16T05:00:00Z",,"None","0","0","0","0",,"The pilot's loss of directional control while landing, which resulted in a runaway excursion and subsequent ground loop.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"44.867151999999997","-123.19824","SCOTT MILLS","CCX-2000","AIR","7S5","INDEPENDENCE STATE","false","1","REC",,"PERS","091","Substantial","VMC","MILLS SCOTT","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103494/pdf"
"WPR21LA252","ACC","103372","2021-06-29T12:30:00Z","Lakeside","Oregon","United States",,"N159WT","0008","false","Aviation","DirectorBrief","2021-08-20T04:00:00Z","2021-08-03T11:00:00Z","None","0","0","0","0",,"The pilot’s inadequate decision to continue the takeoff after sufficient airspeed was not attained and his failure to maintain aircraft control while maneuvering to avoid obstructions, which resulted in a collision with the ground.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained",,"43.583170000000003","-124.18039","SilverLight Aviation","AR-1","HELI","9S3","LAKESIDE MUNI","false","1","REC",,"AOBV","091","Substantial","VMC","CHAPLAINS OF INDUSTRY","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103372","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103372/pdf"
"WPR21LA250","ACC","103360","2021-06-28T11:30:00Z","Hood River","Oregon","United States",,"N10TA","CCX-2000-0080","false","Aviation","DirectorBrief","2023-02-24T05:00:00Z","2023-02-28T14:00:00Z","None","0","0","0","0",,"The total loss of engine power due to improper construction of the muffler, which resulted in separation of the internal components.","Aircraft - Aircraft power plant - Engine exhaust - Noise suppressor - Failure, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment, Aircraft - Aircraft power plant - Engine exhaust - (general) - Design",,"45.672404","-121.56234000000001","L-BIRD LLC","CCX-2000","AIR","4S2","Ken Jernstedt Airfield","true","1","REC",,"FLTS","091","Substantial","VMC","TACAero","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103360","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103360/pdf"
"WPR21FA233","ACC","103294","2021-06-20T15:40:00Z","White City","Oregon","United States",,"N2618A","18-2186","false","Aviation","DirectorBrief","2023-09-27T04:00:00Z","2023-09-27T17:00:00Z","Fatal","1","0","0","1",,"The pilot’s failure to maintain control of the airplane during a go-around, which resulted in a collision with trees. Contributing to the accident was the pilot’s impairment due to his medical conditions and the effects of his medications.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Physical - Impairment/incapacitation - Prescription medication - Pilot, Personnel issues - Physical - Health/Fitness - Use of medication/drugs - Pilot, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment",,"42.538170000000001","-122.89870999999999","PIPER","PA-22-135","AIR","OR96","BEAGLE SKY RANCH","false","1","REC",,"PERS","091","Destroyed","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103294","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103294/pdf"
"WPR21LA230","ACC","103278","2021-06-12T10:45:00Z","Fields","Oregon","United States",,"N20406","17261265","false","Aviation","DirectorBrief","2021-10-19T04:00:00Z","2021-09-21T14:00:00Z","None","0","0","0","0",,"The pilot’s failure to maintain directional control during landing on a highway, which resulted in an impact with terrain and subsequent nose over.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Terrain - Rough terrain - Effect on operation",,"42.264206000000001","-118.67498999999999","CESSNA","172","AIR","None",,"false","1","REC",,"PERS","091","Substantial","VMC","CHEWELAH FLYERS INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103278","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103278/pdf"
"WPR21LA214","ACC","103186","2021-05-29T12:45:00Z","Fields","Oregon","United States",,"N89257","8281","false","Aviation","DirectorBrief","2021-08-20T04:00:00Z","2021-08-03T14:00:00Z","None","0","0","0","0",,"The pilot’s failure to maintain directional control during landing","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"42.520000000000003","-118.45999999999999","CESSNA","140","AIR","NA",,"false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=103186","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103186/pdf"
